trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
14,862.1,1175.51,333,0,0,0,1,0,1,vft_mariano,15,15,Adaptacion,-0.7517857306956754,0.7517857306956754,6.22860863577567,313.40999999999997,-19.590000000000032
15,1023.02,1349.24,333,0,0,0,1,0,1,vft_mariano,16,16,Adaptacion,-0.7533065264008638,0.7533065264008638,6.14207397916044,326.22,-6.779999999999973
16,755.37,1170.02,333,0,0,0,1,0,1,vft_mariano,17,17,Adaptacion,-0.9586372516590553,0.9586372516590553,6.433016050655964,414.65,81.64999999999998
17,829.581,1170.48,333,0,0,0,1,0,1,vft_mariano,18,18,Adaptacion,-1.1152118969349207,1.1152118969349207,6.380056595291062,340.899,7.899000000000001
18,842.5989999999999,1194.47,333,0,0,0,1,0,1,vft_mariano,19,19,Adaptacion,-0.6605258231373609,0.6605269049168748,6.280931531368492,351.8710000000001,18.871000000000095
19,592.863,922.828,333,0,0,0,1,0,1,vft_mariano,20,20,Adaptacion,-0.6610767920293104,0.6925129576593967,6.3624863620710395,329.9649999999999,-3.035000000000082
20,566.91,939.048,333,0,0,0,1,0,1,vft_mariano,21,21,Adaptacion,-0.26744370229678993,0.3113833630471509,6.363643050506849,372.13800000000003,39.138000000000034
21,768.6239999999999,1143.77,333,0,0,0,1,0,1,vft_mariano,22,22,Adaptacion,-0.24121788988961484,0.24677206197961726,6.138356084045297,375.1460000000001,42.14600000000007
22,494.42699999999996,891.3639999999999,333,0,0,0,1,0,1,vft_mariano,23,23,Adaptacion,-0.8249211101928797,0.8249231558479667,6.428507147203314,396.93699999999995,63.936999999999955
23,790.377,1113.76,333,0,0,0,1,0,1,vft_mariano,24,24,Adaptacion,-0.09460224286329495,0.14632407912232367,6.191392496483397,323.38300000000004,-9.616999999999962
24,675.872,1080.54,333,0,0,0,1,0,1,vft_mariano,25,25,Adaptacion,-0.6536721939024321,0.6536799870262227,6.315064225363297,404.668,71.668
25,805.055,1207.74,333,0,0,0,1,0,1,vft_mariano,26,26,Adaptacion,-0.13769322192335956,0.1827912446761442,6.438321499423892,402.68500000000006,69.68500000000006
26,898.834,1228.26,333,0,0,0,1,0,1,vft_mariano,27,27,Adaptacion,0.15444577420210504,0.20823024917602168,6.178329723877937,329.42600000000004,-3.5739999999999554
27,991.633,1286.81,333,0,0,0,1,0,1,vft_mariano,28,28,Adaptacion,-0.18428254719872583,0.18428254719872583,6.225311188917785,295.1769999999999,-37.82300000000009
28,847.993,1277.36,333,0,0,0,1,0,1,vft_mariano,29,29,Adaptacion,-0.38886354025413106,0.6806935218539075,6.220452596218055,429.36699999999985,96.36699999999985
